FEN,Movimientos
2Q5/6pk/1qP2r1p/3p4/8/8/5PPP/2R3K1 w - - 1 33,c6c7 b6f2 g1h1 f2f1 c1f1 f6f1
r1b1qrk1/ppp3p1/4p1p1/3pP3/3P2R1/2P3QP/PP1B1pP1/RN4K1 w - - 0 21,g1f1 e8b5 c3c4 b5c4 g3d3 c4d3
6k1/1Rp2q2/3p1PpQ/b2Pr2p/P2n4/4p3/6PP/5R1K b - - 0 29,e3e2 b7b8 e5e8 b8e8 f7e8 h6g7
1r1b1rk1/1p3ppp/3p4/3Bp1P1/3pP2P/pP1P4/PqPKQP2/6RR w - - 7 22,g1b1 d8a5 b3b4 a5b4 d2d1 b2b1
r2qr1k1/5p2/1p1bpn1Q/1b1p2N1/p2P4/2P5/PPB2PPP/R3K2R b KQ - 2 19,e6e5 c2h7 f6h7 h6h7 g8f8 h7f7
3r2k1/2r3p1/1p1npQ1p/p1b4q/2P5/P3P3/1B3PRP/6RK b - - 0 26,d8d7 g2g7 d7g7 g1g7 c7g7 f6g7
Q7/p4rkp/1p4p1/8/8/8/Pq3PPP/3R2K1 w - - 1 25,a8d5 b2f2 g1h1 f2f1 d1f1 f7f1
5rk1/5Nb1/6Q1/5R2/2p1p3/2Pnq2P/6PK/8 b - - 1 38,d3f4 f7h6 g8h8 f5f8 g7f8 g6g8
3r2k1/p1p1rppp/1pQ5/4P3/5P2/1P2q2P/P5P1/3R1R1K b - - 2 24,d8d1 c6a8 d1d8 a8d8 e7e8 d8e8
7Q/1p2kp2/4p3/3p4/3n1pP1/q1pBbP2/2P1N3/3K3R w - - 10 34,e2d4 a3c1 d1e2 c1d2 e2f1 d2f2
7Q/3bkppp/1p6/pP1p4/8/2q1BP2/P4PPP/3BK2R w K - 9 24,e1f1 d7b5 d1e2 c3a1 e3c1 a1c1
3q2k1/p1p1rppp/8/8/8/3P1QPP/4r3/5RK1 b - - 1 27,e7e3 f3f7 g8h8 f7f8 d8f8 f1f8
6r1/2k4p/p1p1p1q1/2Pp1p1r/5P2/P5P1/1P2Q1KP/2R2R2 w - - 0 26,e2a6 h5h2 g2h2 g6g3 h2h1 g3g2
3r4/p1p1kp1p/4n1pP/1r2p1P1/B1R1Q3/8/PPP2q2/2K1R3 w - - 2 29,a4b5 f2d2 c1b1 d2d1 e1d1 d8d1
